OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
534,Arlington Service Ctr,va,act,usn,no,38.868249999999996,-77.07900000000001
535,Naval Research Laboratory – Tilghman,md,act,usn,no,38.678,-76.3435
536,Gambrills MD,md,act,usn,no,39.056999999999995,-76.6748
538,Naval Air Station Patuxent River,md,act,usn,no,38.28933333333333,-76.41733333333333
539,Webster Field,md,act,usn,no,38.14860000000001,-76.43140000000001
540,NAVSUPPACT Bethesda MD,md,act,usn,no,39.003,-77.09025
541,Naval Observatory,dc,act,usn,no,38.92099999999999,-77.06625
543,Upper Yard Annapolis,md,act,usn,no,38.988499999999995,-76.4945
544,Naval Support Facility Dahlgren,va,act,usn,no,38.342200000000005,-77.02940000000001
545,Chesapeake Bay Detach,md,act,usn,no,38.659,-76.53075000000001
546,Naval Research Laboratory,dc,act,usn,no,38.823375,-77.02225000000001
547,Pumpkin Neck,va,act,usn,no,38.299,-77.04475
548,NMIC Suitland,md,act,usn,no,38.84925,-76.93825000000001
549,Naval Support Facility Indian Head,md,act,usn,no,38.586875,-77.170875
550,Stump Neck Area,md,act,usn,no,38.5465,-77.21883333333332
551,NAVACAD North Severn,md,act,usn,no,38.989200000000004,-76.4726
552,NRC Solomons,md,act,usn,no,38.33365,-76.47749999999999
554,NAF El Centro,ca,act,usn,no,32.8292,-115.66659999999999
555,NAS Lemoore CA,ca,act,usn,no,36.318333333333335,-119.9331666666667
556,Naval Base Point Loma,ca,act,usn,no,32.689514705882345,-117.24523529411765
557,Defense Advanced Research Projects Agency,va,act,whs,no,38.8785,-77.10875
558,Air Force Office of Scientific Research,va,act,whs,no,38.881,-77.10849999999999
559,Mark Center,va,act,whs,no,38.829499999999996,-77.11825
560,Pentagon,va,act,whs,no,38.87325,-77.0535
561,NALF Goliad,tx,act,usn,no,28.6116,-97.6096
562,Dredgers Key-Sigsbee,fl,act,usn,no,24.578625000000002,-81.773
563,Fleming Key Magazine,fl,act,usn,no,24.585250000000002,-81.797
564,Dixie Target Range,tx,act,usn,no,28.10044444444444,-98.74211111111111
565,Pineros Island,pr,care,usn,no,18.250999999999998,-65.593
566,Vieques West PR,pr,act,usn,no,18.09675,-65.51174999999999
567,NAS Key West FL,fl,act,usn,no,24.584866666666667,-81.67229999999999
568,Cabeza De Perro,pr,care,usn,no,18.24825,-65.5775
