OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length,latitude,longitude,elevation,geocoded_name
773,usa,na,Marine Corps Air Station Miramar,no,yes,no,na, ,36f00f07-deb4-4a00-911e-6737dcab30fc,Marine Corps Air Station Miramar,act,usmc,ca,0.0088044049962263,0.735500731913065,,,,
774,usa,na,Marine Corps Base Camp Pendleton,no,yes,no,na, ,39495eb3-d12c-464d-ac1e-0d74b62d7549,Marine Corps Base Camp Pendleton,act,usmc,ca,0.0498770192328912,1.25125987879552,,,,
775,usa,na,"Marine Corps Base Hawaii, Camp H.M. Smith",no,yes,no,na, ,55e30ac8-d385-4268-a14f-bf3c538c3bf2,"Marine Corps Base Hawaii, Camp H.M. Smith",act,usmc,hi,7.77194420606975e-05,0.0456671554755873,,,,
776,usa,na,Marine Corps Base Hawaii,no,yes,no,na, ,a63b65eb-1e95-40f1-b8a0-b99436d5f874,Marine Corps Base Hawaii,act,usmc,hi,0.0010520761761885,0.190029129838805,21.44336,-157.74982,2.0,Marine Corps Base Hawaii - MCBH
777,usa,na,Marine Corps Base Quantico,no,yes,no,na, ,0f804688-c193-4542-84fc-ec2529b892f1,Marine Corps Base Quantico,act,usmc,va,0.0249221638684958,1.46758293054153,,,,
778,usa,na,Marine Corps Logistics Base Barstow,no,yes,no,na, ,bc247b7d-dbc5-40e8-b439-9c5bb49f45d2,Marine Corps Logistics Base Barstow,act,usmc,ca,0.001509052872052,0.225866839300825,,,,
779,usa,na,MCRD San Diego,no,no,no,na, ,c7b68133-6da8-47aa-aa60-7f112e2dc847,MCRD San Diego,act,usmc,ca,0.0001657907089338,0.0692895508741234,,,,
780,usa,na,MCRD San Diego,no,no,no,na, ,c7b68133-6da8-47aa-aa60-7f112e2dc847,MCRD San Diego,act,usmc,ca,0.0001657907089338,0.0692895508741234,,,,
781,usa,na,Marine Corps Support Facility Blount Island,no,yes,no,na, ,07032ff4-f63f-4298-ab7d-4c2dbd1af2cf,Marine Corps Support Facility Blount Island,act,usmc,fl,0.0003501731600863,0.0891402079904039,,,,
782,usa,na,Naval Support Activity Wash,no,no,no,na, ,c7359a10-744f-4dcc-930e-ad8894bdcc75,Naval Support Activity Wash,act,usn,dc,3.42573739544605e-05,0.0249875047937012,,,,
783,usa,na,NG Atlanta United Ave,no,no,no,na, ,,NG Atlanta United Ave,act,armyNationalGuard,ga,1.65429109983961e-05,0.0235446911496031,,,,
784,usa,na,NG Ayer,no,no,no,na, ,,NG Ayer,act,armyNationalGuard,ma,2.73327157174208e-05,0.0258566281599917,42.5612,-71.58979,73.0,Ayer
785,usa,na,NG Baton Rouge AFRC,no,no,no,na, ,,NG Baton Rouge AFRC,act,armyNationalGuard,la,1.93316750483064e-05,0.0283759810498845,,,,
786,usa,na,NG Beauregard Training Range,no,no,no,na, ,,NG Beauregard Training Range,act,armyNationalGuard,la,0.0048434946052111,0.376693630561263,,,,
787,usa,na,NG Bend Cotef,no,no,no,na, ,,NG Bend Cotef,act,armyNationalGuard,or,7.16628310328815e-05,0.0343263594429718,,,,
788,usa,na,NG Bergstrom - (Abia),no,no,no,na, ,,NG Bergstrom - (Abia),act,armyNationalGuard,tx,2.27529033054452e-05,0.0187096853487883,,,,
789,usa,na,NG Bethany Beach Training Site,no,no,no,na, ,,NG Bethany Beach Training Site,act,armyNationalGuard,de,4.24206086790946e-05,0.0265866475391366,,,,
790,usa,na,NG Biak Training Center COUTES,no,no,no,na, ,,NG Biak Training Center COUTES,act,armyNationalGuard,or,0.0130332030203135,0.894206630347671,,,,
791,usa,na,NG Bismarck RJB Complex,no,no,no,na, ,,NG Bismarck RJB Complex,act,armyNationalGuard,nd,3.99963964810013e-05,0.0463796806666846,,,,
792,usa,na,NG Buckeye TS,no,no,no,na, ,,NG Buckeye TS,act,armyNationalGuard,az,0.0005850249956438,0.136948221190223,,,,
793,usa,na,NG Camp Adair Corvallis,no,no,no,na, ,,NG Camp Adair Corvallis,act,armyNationalGuard,or,0.0002424861449981,0.0650266675760248,,,,
794,usa,na,NG Camp Bowie (State),no,no,no,na, ,,NG Camp Bowie (State),act,armyNationalGuard,tx,0.0019567437147998,0.23237561023599,,,,
795,usa,na,NG Camp Fogarty Tng Site,no,no,no,na, ,,NG Camp Fogarty Tng Site,act,armyNationalGuard,ri,0.0001645697243475,0.0711803650203567,,,,
796,usa,na,NG Camp Fogarty Tng Site,no,no,no,na, ,,NG Camp Fogarty Tng Site,act,armyNationalGuard,ri,0.0001645697243475,0.0711803650203567,,,,
797,usa,na,NG Camp Grafton,no,no,no,na, ,,NG Camp Grafton,act,armyNationalGuard,nd,0.0056485833611077,0.759567030039982,48.05694,-98.92095,447.0,Camp Grafton
798,usa,na,NG Camp Gruber,no,no,no,na, ,,NG Camp Gruber,act,armyNationalGuard,ok,0.013493129577455,0.61368607908852,35.67371,-95.20552,173.0,Camp Gruber Heliport
799,usa,na,NG Camp Hartell,no,no,no,na, ,,NG Camp Hartell,act,armyNationalGuard,ct,2.56226601322851e-05,0.026279760467128,,,,
800,usa,na,NG Camp Mabry,no,no,no,na, ,,NG Camp Mabry,act,armyNationalGuard,tx,0.0001397473462033,0.0549229714556909,,,,
801,usa,na,NG Camp Maxey,no,no,no,na, ,,NG Camp Maxey,act,armyNationalGuard,tx,0.0026022605588877,0.370823088335504,,,,
802,usa,na,NG Camp Minden Training Site,no,no,no,na, ,,NG Camp Minden Training Site,act,armyNationalGuard,la,0.0059346948098664,0.516532937801268,,,,
803,usa,na,Camp Navajo,no,yes,no,na, ,,Camp Navajo,act,armyNationalGuard,az,0.0113216117973877,0.492534124568578,,,,
804,usa,na,NG Camp Nett,no,no,no,na, ,,NG Camp Nett,act,armyNationalGuard,ct,3.55208740074886e-05,0.0387031161463287,,,,
805,usa,na,NG Camp Rapid,no,no,no,na, ,,NG Camp Rapid,act,armyNationalGuard,sd,3.78422419089475e-05,0.0274114121346265,,,,
806,usa,na,NG Camp Swift,no,no,no,na, ,,NG Camp Swift,act,armyNationalGuard,tx,0.0044468864741267,0.316590598346813,30.19077,-97.29221,134.0,Camp Swift
807,usa,na,NG Camp Villere,no,no,no,na, ,,NG Camp Villere,act,armyNationalGuard,la,0.0006106158539296,0.0975552953399355,,,,
808,usa,na,NG Camp Withycombe Clackamas,no,no,no,na, ,,NG Camp Withycombe Clackamas,act,armyNationalGuard,or,3.75385529878258e-05,0.0414836235388006,,,,
809,usa,na,NG CTA Camp Mccain,no,no,no,na, ,,NG CTA Camp Mccain,act,armyNationalGuard,ms,0.0051061976939763,0.456725605498403,,,,
810,usa,na,NG Cumming,no,no,no,na, ,,NG Cumming,act,armyNationalGuard,ga,5.18135720994906e-06,0.0091353000716175,34.20732,-84.14019,371.0,Cumming
811,usa,na,NG Ethan Allen AFB MTA,no,no,no,na, ,,NG Ethan Allen AFB MTA,act,armyNationalGuard,vt,0.000300635938629,0.0851496414428282,,,,
812,usa,na,NG Florence Military Reservation,no,no,no,na, ,,NG Florence Military Reservation,act,armyNationalGuard,az,0.0024562859870563,0.396209145078766,,,,
813,usa,na,NG Fort Chaffee MTC,no,no,no,na, ,,NG Fort Chaffee MTC,act,armyNationalGuard,ar,0.0262726167486562,1.19570501626569,,,,
814,usa,na,NG Fort Indiantown Gap,no,no,no,na, ,,NG Fort Indiantown Gap,act,armyNationalGuard,pa,0.0075879117957811,0.887587198035365,40.43981,-76.5983,174.0,Fort Indiantown Gap
815,usa,na,NG Fort McClellan ARNG Tng Center,no,no,no,na, ,,NG Fort McClellan ARNG Tng Center,act,armyNationalGuard,al,0.0003172597737142,0.147974146879662,,,,
818,usa,na,NG Fort Wolters,no,no,no,na, ,,NG Fort Wolters,act,armyNationalGuard,tx,0.0016013188183023,0.33399572237439,,,,
819,usa,na,NG Fort Worth - Shoreview,no,no,no,na, ,,NG Fort Worth - Shoreview,act,armyNationalGuard,tx,3.12610177388706e-05,0.0295346889296923,,,,
820,usa,na,NG Frankfort Boone NG Center,no,no,no,na, ,,NG Frankfort Boone NG Center,act,armyNationalGuard,ky,0.000148100403976,0.112611565187202,,,,
821,usa,na,NG General Lucius D Clay National Guard Center,no,no,no,na, ,,NG General Lucius D Clay National Guard Center,act,armyNationalGuard,ga,4.1543249808873e-05,0.0366640382765919,,,,
823,usa,na,NG Greenlief TS/UTES 01,no,no,no,na, ,,NG Greenlief TS/UTES 01,act,armyNationalGuard,ne,0.001416374997234,0.164857811618535,,,,
824,usa,na,NG Gulfport AVCRAD,no,no,no,na, ,,NG Gulfport AVCRAD,act,armyNationalGuard,ms,2.78102777429012e-05,0.0347773081877414,,,,
825,usa,na,NG Havre De Grace Military Res,no,no,no,na, ,,NG Havre De Grace Military Res,act,armyNationalGuard,md,3.2194376899497e-05,0.0315713831056565,,,,
826,usa,na,NG Hollidaysburg Readiness Center,no,no,no,na, ,,NG Hollidaysburg Readiness Center,act,armyNationalGuard,pa,9.15716304916714e-06,0.012567793625108,,,,
827,usa,na,NG JFHQ-Kansas,no,no,no,na, ,,NG JFHQ-Kansas,act,armyNationalGuard,ks,2.37819122048677e-05,0.025561627053246,,,,
828,usa,na,NG Lane County AFRC FMS 5,no,no,no,na, ,,NG Lane County AFRC FMS 5,act,armyNationalGuard,or,1.02056287687446e-05,0.0195027359413963,,,,
829,usa,na,NG Macon Readiness Center,no,no,no,na, ,,NG Macon Readiness Center,act,armyNationalGuard,ga,1.12296629595221e-05,0.0134043261621444,,,,
