OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
310,Hanscom Air Force Base,ma,42.468625,-71.2825,act,usaf,no,America/New_York,2026-02-10T12:30,31.9,56.0,25.3,1.0,0.0,0.0,0.0,0.0,2.0,55.0,1017.7,1012.9,3.5,225.0,6.5
311,Wright-Patterson Air Force Base,oh,39.80072222222222,-84.07188888888889,act,usaf,no,America/New_York,2026-02-10T12:30,47.0,75.0,41.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.2,980.9,8.6,219.0,16.3
312,McConnell AFB,ks,37.62820000000001,-97.2476,act,usaf,no,America/Chicago,2026-02-10T11:30,49.7,44.0,36.6,1.0,0.0,0.0,0.0,0.0,2.0,53.0,1016.5,966.7,22.0,15.0,34.0
313,Barksdale Air Force Base,la,32.5058888888889,-93.60666666666668,act,usaf,no,America/Chicago,2026-02-10T11:30,71.2,67.0,70.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1018.2,1009.7,10.2,220.0,19.7
314,Little Rock Air Force Base,ar,34.9004,-92.1425,act,usaf,no,America/Chicago,2026-02-10T11:30,64.3,88.0,63.2,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1015.4,1000.7,11.2,226.0,28.0
315,Sheppard AFB,tx,33.9849,-98.5092,act,usaf,no,America/Chicago,2026-02-10T11:30,56.1,37.0,43.5,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1016.2,979.2,20.0,320.0,28.6
316,Laughlin AFB,tx,29.30758823529412,-100.71541176470588,act,usaf,no,America/Chicago,2026-02-10T11:30,65.9,73.0,66.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1016.4,980.4,4.7,121.0,5.6
319,Hill Air Force Base,ut,41.12236842105264,-111.97484210526316,act,usaf,no,America/Denver,2026-02-10T10:30,38.6,57.0,32.7,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1020.5,854.9,2.6,308.0,2.5
320,Joint Base San Antonio,tx,29.530580882352943,-98.34605147058824,act,usaf,yes,America/Chicago,2026-02-10T11:30,67.4,69.0,66.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1017.9,988.8,8.4,172.0,14.1
321,USAF Academy Auxiliary Airfield,co,38.7655,-104.3025,act,usaf,no,America/Denver,2026-02-10T10:30,38.9,43.0,31.4,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1024.2,820.8,5.4,107.0,5.6
324,Eglin Air Force Base,fl,30.369106250000005,-86.32619374999999,act,usaf,no,America/Chicago,2026-02-10T11:30,67.9,84.0,69.5,1.0,0.0,0.0,0.0,0.0,1.0,49.0,1022.4,1021.6,7.0,187.0,12.1
326,Tyndall Air Force Base,fl,30.05771875,-85.57284375,act,usaf,no,America/Chicago,2026-02-10T11:30,65.9,84.0,66.5,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1022.7,1021.9,11.4,176.0,17.0
327,Cheyenne Mountain Space Force Station,co,38.743,-104.8415,act,usaf,no,America/Denver,2026-02-10T10:30,36.9,54.0,22.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.6,796.0,21.3,185.0,28.6
328,Peterson Space Force Base,co,38.8269,-104.6901,act,usaf,no,America/Denver,2026-02-10T10:30,37.0,61.0,26.4,1.0,0.0,0.0,0.0,0.0,1.0,20.0,1023.2,812.4,13.6,170.0,15.7
