OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
219,Rivanna Station,va,38.1565,-78.41475,act,usa,no,America/New_York,2026-02-10T12:30,48.1,32.0,43.7,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1015.6,998.0,0.8,146.0,3.4,50.91428571428571,28.942857142857143,39.05714285714286,44.9,22.442857142857143,0.0,0.0,0.0,7.385714285714285,12.271428571428572,34409.99,4.035714285714286,14.15,0.0,0.075,1
220,Riverbank AAP,ca,37.714,-120.9195,clsd,usa,no,America/Los_Angeles,2026-02-10T09:30,53.5,87.0,50.6,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1009.8,1004.6,6.8,189.0,19.0,60.385714285714286,47.48571428571428,53.07142857142857,55.699999999999996,42.81428571428571,0.1157142857142857,0.10728571428571429,0.0,12.757142857142858,23.228571428571428,23270.739999999998,3.5,9.272857142857143,4.0,0.0652857142857143,0
221,NG Rochester NGA and OMS 2,mn,43.996500000000005,-92.43175,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,34.5,82.0,24.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1017.8,979.7,14.7,312.0,25.1,47.57142857142857,31.785714285714285,38.457142857142856,39.6,24.099999999999998,0.0,0.0,0.0,12.0,24.8,29690.579999999998,3.0785714285714287,10.332857142857142,0.0,0.06028571428571428,1
222,NG Rosemount NG Armory,mn,44.74775,-93.1275,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,33.1,78.0,21.4,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1018.9,982.0,17.0,320.0,25.7,43.285714285714285,29.02857142857143,35.371428571428574,36.6,21.17142857142857,0.0,0.0,0.0,10.571428571428571,22.385714285714283,26804.72,3.1,9.67,0.0,0.04685714285714286,1
223,Runkle Stagefield AL,al,31.33925,-86.09175,act,usa,no,America/Chicago,2026-02-10T11:30,66.8,78.0,66.3,1.0,0.0,0.0,0.0,0.0,3.0,94.0,1022.3,1015.8,8.9,227.0,13.9,69.15714285714286,52.785714285714285,60.31428571428571,67.35714285714286,49.199999999999996,0.05457142857142857,0.040428571428571425,0.0,10.314285714285715,22.900000000000002,27070.390000000003,4.435714285714286,12.107142857142858,1.8571428571428572,0.09214285714285715,0
225,NG Saint George/FMS 5B,ut,37.034,-113.547,act,armyNationalGuard,no,America/Denver,2026-02-10T10:30,53.5,36.0,48.2,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.5,920.6,1.8,14.0,8.9,65.67142857142856,48.3,56.0,58.642857142857146,42.05714285714286,0.0,0.0,0.0,11.571428571428571,18.314285714285713,27568.67142857143,4.085714285714286,13.105714285714285,0.0,0.1217142857142857,0
227,Savanna Depot Act,il,42.2128,-90.30020000000002,clsd,usa,no,America/Chicago,2026-02-10T11:30,42.2,72.0,33.8,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.9,991.5,11.5,324.0,20.1,49.57142857142857,31.7,39.528571428571425,42.1,24.814285714285713,0.0,0.0,0.0,9.37142857142857,17.47142857142857,32640.648571428574,3.207142857142857,11.852857142857143,0.0,0.06085714285714285,1
229,Scranton Army Ammunition Plant,pa,41.40475,-75.6665,act,usa,no,America/New_York,2026-02-10T12:30,28.5,66.0,21.6,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.0,985.2,3.4,191.0,8.5,33.1,17.314285714285713,25.342857142857145,26.342857142857145,9.799999999999999,0.008428571428571428,0.006714285714285714,0.011857142857142858,7.6,20.314285714285713,28885.287142857145,3.4,11.274285714285714,0.5714285714285714,0.036,1
230,NG Sea Girt  NJ NGTC,nj,40.12325,-74.0355,act,armyNationalGuard,no,America/New_York,2026-02-10T12:30,33.0,70.0,26.8,1.0,0.0,0.0,0.0,0.0,3.0,96.0,1018.9,1018.6,3.3,242.0,6.5,37.214285714285715,26.985714285714288,31.814285714285713,28.842857142857145,17.457142857142856,0.0017142857142857144,0.0017142857142857144,0.0,12.4,24.214285714285715,32151.60714285714,3.935714285714286,13.421428571428573,0.14285714285714285,0.053714285714285714,1
232,NG Shelbyville,in,39.5785,-85.8115,act,armyNationalGuard,no,America/Indiana/Indianapolis,2026-02-10T12:30,51.6,88.0,45.2,1.0,0.0,0.0,0.0,0.0,2.0,50.0,1011.2,982.4,13.9,232.0,25.7,47.957142857142856,31.228571428571428,37.91428571428571,41.55714285714286,24.085714285714285,0.0,0.0,0.0,9.271428571428572,18.614285714285717,31673.885714285716,3.6214285714285714,12.464285714285714,0.0,0.05728571428571429,1
