Cluster,Num_Bases,Top_States,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m_max_7d_avg,temperature_2m_min_7d_avg,temperature_2m_mean_7d_avg,apparent_temperature_max_7d_avg,apparent_temperature_min_7d_avg,precipitation_sum_7d_avg,rain_sum_7d_avg,snowfall_sum_7d_avg,wind_speed_10m_max_7d_avg,wind_gusts_10m_max_7d_avg,sunshine_duration_7d_avg,uv_index_max_7d_avg,shortwave_radiation_sum_7d_avg,precipitation_hours_7d_avg,et0_fao_evapotranspiration_7d_avg
0,368,"ca(70), fl(49), hi(33), tx(32), al(30)",66.92309782608697,66.32608695652173,64.9679347826087,0.0,0.0,0.0,2.266304347826087,70.41304347826087,1017.9720108695651,998.8157608695655,9.902445652173913,173.32608695652175,17.379347826086956,69.15271739130435,54.98039596273292,61.42930900621118,67.01836180124224,51.91389751552795,0.0984891304347826,0.0742457298136646,0.0,12.508967391304346,23.34871894409938,27338.36425854037,4.637189440993789,12.902426242236027,2.997670807453416,0.10709976708074534
1,427,"va(47), md(28), ny(21), pa(21), wa(18)",41.22786885245902,59.166276346604214,33.94285714285714,0.0,0.0,0.0,1.5245901639344261,50.89695550351288,1016.8414519906323,971.9175644028103,7.854332552693209,199.91803278688525,14.180796252927403,45.196654399464705,28.67892271662763,36.34647039143526,38.12723318835731,21.111375041820004,0.018131482101037138,0.012626630980260956,0.03368283706925393,10.501940448310473,19.733623285379725,30367.26183673469,3.5822348611575783,11.9485212445634,0.9809300769488124,0.06085379725660756
2,29,"ak(28), ny(1)",-5.06206896551724,73.03448275862068,-15.851724137931036,0.002172413793103448,0.00027586206896551725,0.013344827586206899,13.482758620689655,59.172413793103445,1002.6896551724138,979.3206896551725,10.120689655172415,127.96551724137932,19.441379310344825,11.083251231527093,-2.089655172413793,4.529064039408868,0.8339901477832515,-13.52807881773399,0.07937931034482759,0.01586206896551724,0.38786699507389166,16.796059113300494,30.40541871921182,14125.893743842362,0.9758620689655172,2.941477832512315,4.975369458128078,0.011871921182266008
